방송명,방송날짜,식당명,위치
생생정보통,2017년 1월 3일,대풍만두,경북 안동시 번영길 21
생생정보통,2017년 1월 12일,여인천하조개구이,인천 중구 마시란로 107-11
생생정보통,2017년 1월 13일,제일정육정식당,경기 오산시 오산로 164
생생정보통,2017년 1월 31일,광명식당,제주특별자치도 제주시 동문로4길 9
생생정보통,2017년 2월 1일,칡산에,강원도 원주시 금불4길 25-5
생생정보통,2017년 2월 1일,육해공한판닭갈비,대전광역시 동구 은어송로 51번길 38-8
생생정보통,2017년 2월 3일,신동태요리전문점,경기 화성시 경기동로 491
생생정보통,2017년 2월 3일,동남집,서울 금천구 가산디지털1로 149
생생정보통,2017년 2월 6일,떳다 무한삼겹,서울특별시 양천구 신월2동 492-16
생생정보통,2017년 2월 8일,찜혜화동,경기도 의정부시 부용로 95번길 10
생생정보통,2017년 2월 8일,통큰손칼국수,인천광역시 남동구 앵고개로 847번길 72
생생정보통,2017년 2월 14일,송씨 뼈대 있는 짬뽕,강원도 원주시 봉산로 96-15
생생정보통,2017년 2월 14일,행복한 콩박사,경기도 오산시 양산로 398번길 8-11
생생정보통,2017년 2월 21일,아이포차,경기도 부천시 소사구 괴안동 114-20
생생정보통,2017년 2월 22일,김관석의 탐라돈,서울시 마포구 서강로9길 56 송우빌딩
생생정보통,2017년 2월 28일,청송숯불갈비,대구광역시 남구 대명3동 1723-28
생생정보통,2017년 2월 28일,세친구 족발이야기,인천 계양구 작전동 907-2
생생정보통,2017년 3월 10일,요망진 도세기,서울시 영등포구 당산로 47길 10 두기빌딩 1층
생생정보통,2017년 3월 10일,돈까스잔치,서울 용산구 동빙고동 94
생생정보통,2017년 3월 17일,송영선할머니갈비집,경기도 포천시 이동면 장암리 477-23
생생정보통,2017년 3월 17일,136생고기,인천 계양구 작전동 136번지
생생정보통,2017년 4월 7일,영월애곤드레,인천광역시 남동구 매소홀로 864
생생정보통,2017년 4월 7일,빽갈비1983,서울특별시 강남구 선릉로127길 16
생생정보통,2017년 4월 13일,마포참치,서울특별시 마포구 도화동 51-1 성우빌딩 지하
생생정보통,2017년 4월 13일,옛골매운갈비김치찜,경기 성남시 중원구 둔촌대로 389
생생정보통,2017년 4월 27일,번개맞은흑돼지,제주특별자치도 서귀포시 토평공단로 78-22
생생정보통,2017년 4월 27일,섭지향,제주특별자치도 서귀포시 성산읍 신양로5
생생정보통,2017년 5월 3일,꼬치파이터,전북 전주시 완산구 전주객사5길 13-4 2층
생생정보통,2017년 5월 3일,용두동쭈꾸미,서울 동대문구 무학로 36길 10
생생정보통,2017년 5월 17일,식주고명,서울특별시 종로구 대학로11길 16
생생정보통,2017년 5월 31일,편가네 간장게장,인천광역시 강화군 화도면 가능포로 89번길 11
생생정보통,2017년 5월 31일,행복한 곰탕,세종특별자치시 절재로 194
생생정보통,2017년 6월 6일,밴댕이소갈딱지삼겹살강가네,경상남도 창원시 진해구 충장로 100번길 3
생생정보통,2017년 6월 12일,현래장,서울특별시 마포구 마포대로 20 불교방송국 지하1층
생생정보통,2017년 6월 19일,금목서회관,전라남도 광양시 광양읍 칠성리 17-2
생생정보통,2017년 6월 26일,중식발전소,부산광역시 금정구 수림로50번길 198
생생정보통,2017년 6월 26일,일미화평동냉면,인천광역시 동구 화평로 18
생생정보통,2017년 7월 19일,더코너키친,서울 성동구 한림말3길 8
생생정보통,2017년 7월 26일,구로식당 본점,서울 구로구 디지털로34길 55
생생정보통,2017년 8월 15일,구옹진식당,충남 서산시 번화2로 8-2
생생정보통,2017년 8월 15일,강화해신탕,인천 강화군 선원면 중앙로 385
생생정보통,2017년 8월 21일,약산궁 능이버섯백숙,경기 포천시 내촌면 금강로 3143-7
생생정보통,2017년 9월 1일,속초해물보쌈전골,강원 속초시 먹거리6길 17
생생정보통,2017년 9월 1일,제주미돈,인천 남동구 소래역동로 6-8
생생정보통,2017년 9월 7일,오시오집,서울 영등포구 국제금융로 78
생생정보통,2017년 9월 7일,계림식당,서울 종로구 돈화문로4길 39
생생정보통,2017년 9월 13일,옛골할머니감자탕순대국,경기 고양시 일산동구 고일로 10
생생정보통,2017년 9월 13일,청담추어정,경기 성남시 수정구 여수대로56번길 3
생생정보통,2017년 9월 18일,까치기사식당,인천 부평구 백범로 526
생생정보통,2017년 9월 25일,갈비구락부,울산 울주군 삼남면 남상평2길 34-12
생생정보통,2017년 9월 25일,반저,서울 종로구 대학로8가길 56
생생정보통,2017년 10월 27일,이태리국시,대전 서구 둔산로31번길 31
생생정보통,2017년 11월 3일,쑥고개부대찌개,경기 안성시 원곡면 만세로 999-2
생생정보통,2017년 11월 3일,꽃삼,충남 아산시 용화로47번길 2-4
생생정보통,2017년 11월 6일,네모오징어 도곡본점,서울 강남구 논현로 136
생생정보통,2017년 11월 6일,연호정칼국수,경기 김포시 월곶면 군하로 242
생생정보통,2017년 11월 15일,스앤샤 홍대본점,서울 마포구 와우산로17길 24
생생정보통,2017년 11월 21일,취향왕짬뽕,경기 시흥시 동서로 1249-1
생생정보통,2017년 11월 21일,쇠뫼기,경기 광주시 퇴촌면 정영로 580-3
생생정보통,2017년 11월 29일,바다담은 해물 손칼국수,경기도 고양시 덕양구 원당로 383
생생정보통,2017년 11월 29일,강릉아구찜,서울 서대문구 연세로2다길 68
생생정보통,2017년 12월 5일,미스테이크룸,서울 용산구 보광로59길 17
생생정보통,2017년 12월 5일,고기한점 달빛한점,서울 광진구 아차산로31길 29
생생정보통,2017년 12월 11일,하선재 간장게장,서울 송파구 올림픽로34길 27-22
생생정보통,2017년 12월 11일,이태원 우육미엔,서울 용산구 이태원로55가길 26-8
생생정보통,2017년 12월 19일,푸른초장,서울 서대문구 충정로 43-4
생생정보통,2017년 12월 19일,어부네 횟집,서울 마포구 용강동 114-20
생생정보통,2017년 12월 25일,철판패밀리,경기 의정부시 의정부동 182-16
생생정보통,2017년 12월 25일,해신247,경남 거제시 아주1로2길 48
생생정보통,2018년 1월 2일,전주회관식당,전북 진안군 진안읍 마이산로 250
생생정보통,2018년 1월 2일,아삼육,서울시 중구 청파로 463-17
생생정보통,2018년 1월 9일,신미가,전북 무주군 무주읍 무주로 1739
생생정보통,2018년 1월 9일,명계옥,경기 고양시 일산동구 무궁화로 32-21
생생정보통,2018년 1월 16일,대왕암아구찜,울산광역시 동구 해수욕장4길 8
생생정보통,2018년 1월 16일,내고향아구찜,경상남도 창원시 마산회원구 내서읍 삼계로 57
생생정보통,2018년 1월 23일,어부의 밥상,경기도 부천시 송내대로 33
생생정보통,2018년 1월 23일,말뚝이덕장,경기도 안산시 상록구 광덕3로 322
생생정보통,2018년 1월 30일,새천년 회대게,경북 포항시 남구 호미곶면 강사리 6번지
생생정보통,2018년 1월 30일,도담청시래기,경기도 양주시 장흥면 북한산로 881
생생정보통,2018년 2월 7일,동경전통육개장,서울 강남구 테헤란로13길 8-3
생생정보통,2018년 2월 7일,용궁칼국수,경기 파주시 탄현면 새오리로 59-52
생생정보통,2018년 2월 19일,불티나손만두,서울 은평구 신사동 23-5
생생정보통,2018년 2월 19일,하얀집,전남 나주시 금성관길 6-1
생생정보통,2018년 2월 26일,후라토 식당,서울특별시 종로구 경희궁길 47-
생생정보통,2018년 2월 26일,화진포막국수,서울 강동구 성내로 10길 12 화진포막국수
생생정보통,2018년 3월 1일,연남곱창타운,서울시 마포구 연남동 260-51
생생정보통,2018년 3월 1일,짱닭,경기 김포시 운양동 958-2
생생정보통,2018년 3월 8일,천하장사,전북 군산시 하산1길 14
생생정보통,2018년 3월 8일,3일한우국밥,서울 영등포구 영등포로 204
생생정보통,2018년 3월 15일,바다횟집,대전 대덕구 한밭대로 1005
생생정보통,2018년 3월 15일,미옌,"경기도 성남시 분당구 서현동 269-2, 2층"
생생정보통,2018년 3월 22일,가마솥 족발,경북 경주시 봉황로 39-1
생생정보통,2018년 3월 22일,"육, 낙, 꽃",울 서초구 강남대로97길 23 거산빌딩
생생정보통,2018년 3월 29일,현호네 매운갈비찜,경기도 수원시 팔달구 창룡대로8번길 40
생생정보통,2018년 3월 29일,깔레소나무장작구이,경기도 안양시 만안구 장내로 139번길 56-12 2층
생생정보통,2018년 4월 6일,태봉한우면옥,충남 예산군 덕산면 신평1길 14
생생정보통,2018년 4월 6일,꽃지꽃게집,충남 태안군 안면읍 안면대로 3020
생생정보통,2018년 4월 13일,복돈기사식당,서울시 송파구 삼전동 36-8번지
생생정보통,2018년 4월 13일,가마솥손두부,서울 동작구 남부순환로 271길 20
생생정보통,2018년 4월 20일,옥돌위에석쇠한판,경기 고양시 일산동구 장항동 855
생생정보통,2018년 4월 20일,해누리,"강원도 춘천시 효자동 692-1, 2층"
생생정보통,2018년 5월 1일,금돼지식당,서울 중구 다산로 149 금돼지식당
생생정보통,2018년 5월 1일,목포명가,서울 강남구 삼성로100길 23-22 목포명가
생생정보통,2018년 5월 7일,뉴만두집,서울 강남구 압구정로 338
생생정보통,2018년 5월 7일,봉화전,서울 강남구 봉은사로 632
생생정보통,2018년 5월 17일,착한명인국수와숯불냉면,광주광역시 남구 서대문로 700(진월동 294-17 광동빌딩
생생정보통,2018년 5월 17일,2SOYOU,서울 마포구 와우산로 11길 9-8
생생정보통,2018년 5월 23일,고향마루,전북 남원시 의총로 12
생생정보통,2018년 5월 23일,티라벤토,서울 용산구 녹사평대로26길 77-6
생생정보통,2018년 6월 1일,먹깨비해물아구찜,서울특별시 동대문구 장안동 345-1번지
생생정보통,2018년 6월 1일,어항식당,충남 서천군 장항읍 장선1리 332-54
생생정보통,2018년 6월 8일,석원,경남 진주시 문산읍 동부로 537
생생정보통,2018년 6월 8일,대소양,광주 서구 상무민주로 4
생생정보통,2018년 6월 15일,위풍당당족발,서울특별시 성동구 성수일로8길 53
생생정보통,2018년 6월 14일,파르투내,서울 중구 마른내로 154