학교명,주소,lat_school,lon_school,지하철역,lat_station,lon_station
가톨릭대학교 성신교정,서울특별시 종로구 창경궁로 296-12,37.5857654,127.0048121,한성대입구역,37.5883814,127.0059407
가톨릭대학교 성의교정,서울특별시 서초구 반포대로 222,37.5003974,127.0066599,고속터미널역,37.5049184,127.0027211
감리교신학대학교,서울특별시 서대문구 독립문로 56,37.5674793,126.9619615,서대문역,37.5657742,126.964456
건국대학교,서울특별시 광진구 능동로 120,37.5419717,127.0767285,건대입구역,37.5403932,127.067042
경기대학교,서울특별시 서대문구 경기대로9길 24,37.5652583,126.9621734,서대문역,37.5657742,126.964456
경희대학교,서울특별시 동대문구 경희대로 26,37.5953632,127.0527612,회기역,37.5897602,127.055783
고려대학교,서울특별시 성북구 안암로 145,37.5900117,127.0318586,고려대역,37.5904052,127.033665
광운대학교,서울특별시 노원구 광운로 20,37.6194277,127.05982,석계역,37.6150857,127.0635735
국민대학교,서울특별시 성북구 정릉로 77,37.6108694,126.9972889,길음역,37.6031892,127.02272
그리스도대학교,서울특별시 강서구 까치산로24길 47,37.5486261,126.8548772,등촌역,37.5513072,126.8623245
덕성여자대학교,서울특별시 도봉구 삼양로 144길 33,37.6511988,127.0161604,4.19민주묘지역,37.6482275,127.008611
동국대학교,서울특별시 중구 필동로1길 30,37.5585916,126.9997567,동대입구,37.5585927,127.00298
동덕여자대학교,서울특별시 성북구 화랑로 13길 60,37.6068163,127.0423832,월곡역,37.6019292,127.039336
명지대학교,서울특별시 서대문구 거북골로 34,37.5794251,126.9214472,증산역,37.5833237,126.9067348
삼육대학교,서울특별시 노원구 화랑로 815,37.6431424,127.1062512,갈매역,37.634485,127.113072
상명대학교,서울특별시 종로구 홍지문2길 20,37.6041771,126.9556929,녹번역,37.6008732,126.933567
서강대학교,서울특별시 마포구 백범로 35,37.5513353,126.9407371,서강대역,37.5521362,126.933195
서경대학교,서울특별시 성북구 서경로 124,37.6153765,127.0135494,북한산보국문역(우이신설),37.6120802,127.006039
서울과학기술대학교,서울특별시 노원구 공릉로 232,37.6324657,127.0786713,공릉역,37.626008,127.072905
서울교육대학교,서울특별시 서초구 서초중앙로 96,37.4899286,127.0158653,교대역,37.493053,127.013746
서울기독대학교,서울특별시 은평구 갈현로 4길,37.6012016,126.9124821,응암역,37.598579,126.915637
서울대학교,서울특별시 관악구 관악로 1,37.4602626,126.9535979,서울대입구역,37.481201,126.952744
서울시립대학교,서울특별시 동대문구 서울시립대로 163,37.583383,127.0593032,청량리역,37.58014,127.047469
서울여자대학교,서울특별시 노원구 화랑로 621,37.6292222,127.0905514,화랑대역,37.620167,127.084619
성공회대학교,서울특별시 구로구 연동로 320,37.4877355,126.825157,온수역,37.492099,126.823087
성균관대학교,서울특별시 종로구 성균관로 25-2,37.5871833,126.9930833,혜화역,37.582293,127.001871
성신여자대학교(돈암),서울특별시 성북구 보문로 34다길 2,37.5927408,127.0224394,성신여대역,37.592609,127.016544
성신여자대학교(미아운정그린),서울특별시 강북구 도봉로76가길 55,37.6318165,127.0274041,안암역,37.586256,127.028973
세종대학교,서울특별시 광진구 능동로 209,37.5517986,127.0736331,어린이대공원역,37.547724,127.074443
숙명여자대학교,서울특별시 용산구 청파로 47길 100,37.5463644,126.9648311,숙명여대역,37.544471,126.972035
숭실대학교,서울특별시 동작구 상도로 369,37.4963462,126.9568865,숭실대입구역,37.49603,126.954002
연세대학교,서울특별시 서대문구 연세로 50,37.564089,126.9389809,신촌역,37.559887,126.942512
육군사관학교,서울특별시 노원구 공릉동 1-1,37.6201351,127.1041863,봉화산역,37.617341,127.091199
이화여자대학교,서울특별시 서대문구 이화여대길 52,37.5642551,126.9503079,이대역,"37.556735,",126.945889
장로회신학대학교,서울특별시 광진구 광장로5길 25-1,37.550118,127.1038593,광나루역,37.545238,127.103402
중앙대학교,서울특별시 동작구 흑석로 84,37.5049996,126.957378,흑석역,37.508844,126.963724
총신대학교,서울특별시 동작구 사당로 143,37.4886232,126.9668169,남성역,37.484638,126.971038
추계예술대학교,서울특별시 서대문구 북아현로11가길 7,37.5628641,126.9531684,아현역,37.557373,126.956126
한국성서대학교,서울특별시 노원구 동일로 214길 32,37.6486885,127.0642073,중계역,37.644653,127.06424
한국외국어대학교,서울특별시 동대문구 이문로 107,37.5976171,127.0582192,외대앞역,37.596074,127.063568
한국체육대학교,서울 송파구 양재대로 1239,37.5201464,127.1308648,올림픽공원역,37.516194,127.130972
한성대학교,서울특별시 성북구 삼선교로16길 116,37.5827584,127.0106694,한성대입구역,37.588425,127.006164
한양대학교,서울특별시 성동구 왕십리로 222,37.5544649,127.0465971,한양대입구역,37.55526,127.04363
한양여자대학교,서울특별시 성동구 살곶이길 200,37.5580179,127.046734,개봉역,37.494664,126.858525
홍익대학교,서울특별시 마포구 와우산로 94,37.5509769,126.9257006,홍대입구역,37.556736,126.923651